statNm,addr,chgerType,useTime,lat,lng,output,limitYn,limitDetail
광주 오치한국아델리움104동,광주광역시 북구 능안로29번길 22,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.189800104371,126.9157030911,기타,N,기타
광주 오치한국아델리움102동,광주광역시 북구 능안로29번길 22,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.188799604925,126.9157096142,기타,N,기타
광주 오치한국아델리움103동,광주광역시 북구 능안로29번길 22,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.18940337461,126.9155113565,기타,N,기타
광주 일곡4차청솔아파트,광주광역시 북구 일곡마을로 10,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.206998422812,126.899786614,기타,N,기타
광주 화정라인동산아파트,광주광역시 서구 염화로45번길 17,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.138711646021,126.8695325967,7.0,N,외부인 사용불가
광주 일곡3차청솔아파트,광주광역시 북구 일곡마을로 225,2,거주자외출입제한,35.2108114,126.8979807,7.0,N,외부인 사용불가
광주북구 용봉동한화꿈에그린103동,광주광역시 북구 용주로30번길 60,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.179290544424,126.903928719,7.0,N,외부인 사용불가
광주북구 용봉동한화꿈에그린102동,광주광역시 북구 용주로30번길 60,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.179569361429,126.9031708845,7.0,N,외부인 사용불가
광주북구 용봉동한화꿈에그린105동,광주광역시 북구 용주로30번길 60,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.180137626718,126.9036861968,7.0,N,외부인 사용불가
광주서구 농성삼익아파트,광주광역시 서구 내방로 430,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.159081279924,126.886319087,7.0,N,외부인 사용불가
광주서창동주민센터,광주광역시 서구 눌재로 412,2,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",35.114499299256,126.8302912188,7.0,N,외부인 사용불가
광천동주민센터,광주광역시 서구 광천2길 9,2,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",35.164382644816,126.8802615681,7.0,N,외부인 사용불가
광주남구 진월지구남양휴튼,광주광역시 남구 노대실로 26,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.10691188933,126.9048056622,7.0,N,외부인 사용불가
광주광산 첨단금호타운,광주광역시 광산구 첨단중앙로181번길 42-5,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.221271003612,126.8359171024,7.0,N,외부인 사용불가
광주남구 진월한신1차아파트1,광주광역시 남구 광복마을4길 9-1,2,24시간 이용가능,35.1205886,126.8974154,7.0,N,외부인 사용불가
광주남구 진월한신1차아파트2,광주광역시 남구 광복마을4길 9-1,2,24시간 이용가능,35.1199666,126.8973284,7.0,N,외부인 사용불가
광주광산 수완3단지중흥S-클래스,광주광역시 광산구 풍영로145번길 18,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.185183234855,126.8126920287,7.0,N,외부인 사용불가
광주광산 부영애시앙1차P1,광주광역시 광산구 목련로 42,2,24시간 이용가능,35.1713162,126.8020912,7.0,N,외부인 사용불가
광주광산 부영애시앙1차P2,광주광역시 광산구 목련로 42,2,24시간 이용가능,35.1723962,126.8021962,7.0,N,외부인 사용불가
광주광산 부영애시앙1차P3,광주광역시 광산구 목련로 42,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.171811341775,126.8017497963,7.0,N,외부인 사용불가
광주 봉선로남해오네뜨(105동 B1),광주광역시 남구 봉선로 42,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.130192803945,126.9030977088,7.0,N,외부인 사용불가
광주 봉선로남해오네뜨(105동 B2),광주광역시 남구 봉선로 42,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.130183851698,126.9031745215,7.0,N,외부인 사용불가
광주서구 성우아파트,광주광역시 서구 마륵복개로 164,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.146287613542,126.8545137299,7.0,N,외부인 사용불가
광주 영천마을주공10단지1001동,광주광역시 광산구 사암로340번길 30,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.174747029299,126.8113261931,7.0,Y,외부인 사용불가
